category,description,amount,date
Coffee,EspressoLab,395,2026-10-16
Coffee,Coffee Shop,342,2026-10-26
Coffee,Starbucks,197,2026-10-04
Coffee,Coffee Shop,320,2026-10-12
Coffee,Starbucks,310,2026-10-15
Coffee,EspressoLab,127,2026-10-22
Coffee,EspressoLab,150,2026-10-02
Coffee,Starbucks,273,2026-10-26
Coffee,Coffee Shop,227,2026-10-07
Coffee,Coffee Shop,374,2026-10-15
Delivery,Food Delivery,682,2026-10-06
Delivery,Grocery Delivery,723,2026-10-08
Delivery,Food Delivery,703,2026-10-26
Delivery,Food Delivery,301,2026-10-21
Transportation,Metro,125,2026-10-30
Transportation,Bus,200,2026-10-14
Transportation,Fuel,522,2026-10-07
Transportation,Fuel,90,2026-10-06
Transportation,Fuel,32,2026-10-13
Transportation,Taxi,832,2026-10-26
Transportation,Fuel,322,2026-10-14
Transportation,Fuel,188,2026-10-07
Transportation,Taxi,252,2026-10-02
Transportation,Metro,795,2026-10-11
Transportation,Metro,81,2026-10-19
Transportation,Fuel,544,2026-10-30
Beauty,Hair Salon,916,2026-10-17
Gym,Gym Membership,1500,2026-10-03
Health Insurance,Health Insurance Payment,1500,2026-10-13
AI Tools,AI Subscription,1500,2026-10-19
Shopping,Clothing,2936,2026-10-03
Shopping,Online Shopping,3092,2026-10-19
Shopping,Electronics,1468,2026-10-07
Shopping,Electronics,1377,2026-10-09
Entertainment,Event,518,2026-10-22
Entertainment,Night Out,1186,2026-10-11
Entertainment,Cinema,269,2026-10-15
Travel,Flight,1400,2026-10-18
Travel,Hotel,4944,2026-10-09
Other,Miscellaneous Expense,814,2026-10-29
Other,Miscellaneous Expense,600,2026-10-12
Subscriptions,Netflix,250,2026-10-10
Subscriptions,Spotify,100,2026-10-06
Subscriptions,Cloud Storage,150,2026-10-15
Housing,Rent,12000,2026-11-22
Utilities,Internet,1658,2026-11-04
Utilities,Water,841,2026-11-04
Utilities,Electricity,1433,2026-11-05
Utilities,Internet,877,2026-11-20
Groceries,Supermarket,1002,2026-11-07
Groceries,Grocery Store,840,2026-11-17
Groceries,Local Market,814,2026-11-29
Groceries,Supermarket,489,2026-11-21
Groceries,Local Market,866,2026-11-02
Groceries,Supermarket,983,2026-11-25
Groceries,Supermarket,836,2026-11-06
Groceries,Grocery Store,1204,2026-11-18
Restaurants,Dinner Out,1448,2026-11-01
Restaurants,Restaurant,454,2026-11-29
Restaurants,Fast Food,1417,2026-11-02
Restaurants,Brunch,1492,2026-11-18
Restaurants,Fast Food,1180,2026-11-05
Restaurants,Restaurant,931,2026-11-12
Coffee,Coffee Shop,283,2026-11-07
Coffee,EspressoLab,227,2026-11-22
Coffee,Coffee Shop,281,2026-11-25
Coffee,EspressoLab,308,2026-11-20
Coffee,EspressoLab,179,2026-11-30
Coffee,Coffee Shop,183,2026-11-26
Coffee,Coffee Shop,311,2026-11-01
Coffee,Coffee Shop,270,2026-11-26
Coffee,Starbucks,227,2026-11-09
Coffee,Coffee Shop,155,2026-11-13
Delivery,Food Delivery,1129,2026-11-16
Delivery,Food Delivery,454,2026-11-27
Delivery,Grocery Delivery,608,2026-11-10
Delivery,Food Delivery,478,2026-11-01
Transportation,Bus,438,2026-11-11
Transportation,Taxi,101,2026-11-25
Transportation,Taxi,389,2026-11-21
Transportation,Fuel,725,2026-11-27
Transportation,Taxi,58,2026-11-04
Transportation,Taxi,212,2026-11-19
Transportation,Taxi,69,2026-11-04
Transportation,Fuel,383,2026-11-24
Transportation,Taxi,476,2026-11-20
Transportation,Metro,424,2026-11-29
Transportation,Bus,290,2026-11-02
Transportation,Fuel,31,2026-11-17
Beauty,Hair Salon,1545,2026-11-14
Gym,Gym Membership,1500,2026-11-20
Health Insurance,Health Insurance Payment,1500,2026-11-24
AI Tools,AI Subscription,1500,2026-11-22
Shopping,Online Shopping,1736,2026-11-13
Shopping,Electronics,2670,2026-11-05
Shopping,Cosmetics,2122,2026-11-22
Shopping,Online Shopping,3174,2026-11-24
Entertainment,Concert,1510,2026-11-19
Entertainment,Night Out,1081,2026-11-18
Entertainment,Cinema,872,2026-11-10
Travel,Hotel,4321,2026-11-26
Travel,Train,4609,2026-11-15
Other,Miscellaneous Expense,537,2026-11-17
Other,Miscellaneous Expense,447,2026-11-22
Subscriptions,Netflix,250,2026-11-03
Subscriptions,Spotify,100,2026-11-10
Subscriptions,Cloud Storage,150,2026-11-17
